time,loss,highest_reward,average_reward,steps,games
2024-09-30T01:52:22.749256943Z,-0.42126754,3.75,-0.53359026,1602400,4780
2024-09-30T01:52:24.577051595Z,-0.46388686,4.25,-0.4677892,1603500,4365
2024-09-30T01:52:26.404708344Z,-0.47163177,6.25,-0.4446005,1602000,4208
2024-09-30T01:52:28.247377274Z,-0.44725353,5.75,-0.43888056,1602600,4164
2024-09-30T01:52:30.060303175Z,-0.41745955,4.5,-0.44836193,1602500,4105
2024-09-30T01:52:31.843129977Z,-0.36989337,5.0,-0.41753495,1602800,3991
2024-09-30T01:52:33.646374558Z,-0.37221947,6.0,-0.4327313,1602900,3941
2024-09-30T01:52:35.445098598Z,-0.32611468,5.75,-0.40615645,1603200,3912
2024-09-30T01:52:37.280347232Z,-0.31341168,5.75,-0.40946662,1603000,3875
2024-09-30T01:52:39.098047687Z,-0.29990044,5.25,-0.40636697,1602800,3813
2024-09-30T01:52:40.937430298Z,-0.30768856,4.0,-0.40973002,1603800,3779
2024-09-30T01:52:42.774199628Z,-0.2995771,5.25,-0.41207024,1602700,3732
2024-09-30T01:52:44.586990884Z,-0.28847146,4.25,-0.39504614,1603800,3714
2024-09-30T01:52:46.425339053Z,-0.29021204,4.0,-0.39943516,1602200,3694
2024-09-30T01:52:48.240809015Z,-0.28659225,5.25,-0.40735486,1603700,3655
